sample1:	BF_samples.fasta
sample2:	EU_samples.fasta
confidence:	0.8
Significance	Rank	Name	Sample1	Sample2
1.47E-172	genus	Prevotella	579	1
2.74E-48	family	Bacteroidaceae	0	158
2.74E-48	genus	Bacteroides	0	158
NA		unclassified "Prevotellaceae"	109	4
3.55E-15	family	"Rikenellaceae"	0	48
7.11E-15	genus	Alistipes	0	47
6E-14	order	"Bacteroidales"	697	250
6E-14	phylum	"Bacteroidetes"	699	250
6E-14	class	"Bacteroidia"	697	250
6E-14	family	"Prevotellaceae"	690	7
6E-14	class	Clostridia	233	736
6E-14	order	Clostridiales	232	733
6E-14	genus	Faecalibacterium	30	186
6E-14	phylum	Firmicutes	277	773
6E-14	family	Lachnospiraceae	99	233
6E-14	family	Ruminococcaceae	110	445
NA		unclassified Ruminococcaceae	73	243
2.8E-13	genus	Lachnospiracea_incertae_sedis	7	71
1.98E-9	subclass	Actinobacteridae	160	72
1.98E-9	family	Bifidobacteriaceae	160	72
1.98E-9	order	Bifidobacteriales	160	72
2.33E-9	order	"Enterobacteriales"	5	45
2.33E-9	family	Enterobacteriaceae	5	45
3.65E-9	phylum	"Actinobacteria"	160	74
3.65E-9	class	Actinobacteria	160	74
3.65E-9	genus	Bifidobacterium	156	71
NA		unclassified Clostridiales	5	43
3.67E-8	family	"Porphyromonadaceae"	2	32
NA		unclassified Enterobacteriaceae	0	21
5.65E-6	genus	Roseburia	2	24
1.71E-5	phylum	"Proteobacteria"	37	83
3.05E-5	family	Sutterellaceae	0	15
6.1E-5	order	Aeromonadales	14	0
6.1E-5	family	Succinivibrionaceae	14	0
NA		unclassified Succinivibrionaceae	14	0
1.45E-4	order	Burkholderiales	1	16
4.88E-4	genus	Parabacteroides	0	11
4.88E-4	genus	Sutterella	0	11
5.46E-4	genus	Escherichia/Shigella	5	23
NA		unclassified Lachnospiraceae	52	92
7.29E-4	class	Betaproteobacteria	2	16
9.77E-4	genus	Barnesiella	0	10
9.77E-4	genus	Fusicatenibacter	1	13
2.88E-3	class	Gammaproteobacteria	35	64
4.34E-3	genus	Ruminococcus2	17	4
6.35E-3	genus	Eisenbergiella	1	10
1.17E-2	family	Pasteurellaceae	1	9
1.17E-2	order	Pasteurellales	1	9
1.56E-2	genus	Odoribacter	0	6
1.92E-2	genus	Dorea	14	4
2.14E-2	class	Negativicutes	17	6
2.14E-2	order	Selenomonadales	17	6
2.14E-2	family	Veillonellaceae	17	6
3.09E-2	genus	Dialister	13	4
6.25E-2	phylum	"Spirochaetes"	4	0
6.25E-2	genus	Parasutterella	0	4
6.25E-2	family	Spirochaetaceae	4	0
6.25E-2	order	Spirochaetales	4	0
6.25E-2	class	Spirochaetia	4	0
7.03E-2	genus	Clostridium IV	1	6
7.03E-2	genus	Haemophilus	1	6
1.25E-1	genus	Butyricicoccus	3	0
1.25E-1	genus	Butyricimonas	0	3
NA		unclassified Pasteurellaceae	0	3
1.46E-1	genus	Blautia	3	8
1.8E-1	genus	Oscillibacter	2	6
2.19E-1	family	Clostridiaceae 1	15	9
NA		unclassified Bifidobacteriaceae	4	1
2.5E-1	suborder	"Coriobacterineae"	0	2
2.5E-1	genus	Alloprevotella	2	0
2.5E-1	family	Coriobacteriaceae	0	2
2.5E-1	order	Coriobacteriales	0	2
2.5E-1	subclass	Coriobacteridae	0	2
2.5E-1	genus	Paraprevotella	0	2
2.5E-1	genus	Sarcina	2	0
